#vrednosti za 100g vsakega zivila
#zivilo	energija[kcal]	mascobe[g]	ogljikovi hidrati[g]	proteini[g]	Ca[mg]	Fe[mg]	Vitamin C[mg]	Kalij[mg] Natrij[mg] cena[€]
Ovseni_kosmici	369	6.1	64	15.5		54	4.7	0	354	286	0.698
Jabolko		52	0.17	13.81	0.26		6	0.12	4.6	107	1	0.119
Pomfri		93	12	21.55	1.96		5	0.35	12.8	391	241	0.099
Govedina	254	20	0	17.17		18	1.94	0	295	66	0.698
Svinjina	236	17.99	0	17.18		15	1.05	0.7	302	65	0.6225
Piscanec	114	1.65	0	23.2		12	0.73	0	239	68	0.698
Mleko		60	3.25	4.52	3.22		113	0.03	0	113	40	0.085
Sir_edamec	357	27.8	1.43	24.99		731	0.44	0	188	965	1.097
Kruh_bel	266	3.64	47.51	10.91		142	3.46	0.2	184	521	0.159
Kruh_polnozrnat	247	3.35	41.29	12.95		107	2.43	0	248	472	0.279
Maslo		717	81.11	0.06	0.85		24	0.02	0	24	11	0.458
Skusa_soljena	305	25.1	0	18.5		66	1.4	0	520	4450	1.21
Losos		142	5.34	0	19.84		12	0.8	0	490	44	1.4
Riz		130	0.21	28.59	2.38		3	1.49	0	29	0	0.289
Cokolada	563	33	55	9		220	4	0	559	24	1.107
Fizol		132	0.54	23.71	8.86		27	2.1	0	355	1	1.1475
Rdeca_pesa	37	0	8	2		16	0.79	4.8	325	78	0.243
Solata		17	0.2	3.35	1.25		52	0.83	9	194	28	1.19
Zelje		25	0.1	5.8	1.28		40	0.47	36.6	170	18	0.178
Pivo		43	0	3.55	0.46		4	0.02	0	27	4	0.1797
Grozdje		69	0	18	1		10	0.4	3.6	191	2	0.199
Jagode		32	0.3	7.68	0.67		16	0.41	58.8	153	1	0.796
Jajce		155	10.61	1.12	12.58		50	1.19	0	126	124	0.1 9875
Makaroni	158	0.93	30.86	5.8		7	1.28	0	44	1	0.218
Torta		399	16	60	4		116	3.6	0	140	315	0.9078
Nutella		546	31.6	57.6	6		40	0.72	0	550	40.6	0.665
Krompir		87	0.1	17.47	2.1		12	0.78	19.7	421	6	0.0876
Banana		89	0.33	22.84	1.09		5	0.26	8.7	358	1	0.075
Kokice		375	4.3	74	11		0	2.88	0	274	74	0.55
Brokoli		34	0.37	6.64	2.82		47	0.73	89.2	316	33	0.298
Tuna		184	6	0	30		10	1.3	0	323	50	1.90
Paradižnik	18	0.2	3.92	0.88		10	0.27	12.7	237	5	0.249
Paprika		27	0.21	6.32	1		11	0.46	183.5	212	2	0.318
Korenje		41	0.24	9.58	0.93		33	0.3	5.9	320	69	0.119
Strocji_fizol	31	0.12	7.13	1.82		37	1.04	16.3	209	6	0.398
Kumara		12	0.16	2.16	0.49		14	0.22	3.2	136	2	0.179
Pomaranca	47	0.12	11.75	0.94		40	0.1	53.2	181	0	0.179
Puran		115	1.56	0	23.56		12	1.19	0	305	63	1.1975
Mortadela	311	25.39	3.05	16.37		18	1.4	0	163	1246	0.69
Postrv		148	6.61	0	20.77		43	1.5	0.5	361	52	1.5
Olivno_olje	884	100	0	0		1	0.56	0	1	2	0.659
Marmelada	245	0	66	0.3		38	0.15	4.8	37	56	0.429
Med		304	0	82.40	0.3		6	0.42	0.5	52	4	0.777
Kakav		229	13.7	54.3	19.6		128	13.86	0	1524	21	0.6225
Sol		0	0	0	0		24	0.3	0	8	38758	0.109
Radenska	0	0	0	0		20	0.1	0	8	44	0.043
Vino_cabernet	84	0	2.6	0.07		0	0	0	0	0	0.665
Vino_traminec	82	0	2.6	0.07		0	0	0	0	0	0.932
